epoch,accuracy,loss,val_accuracy,val_loss
0,0.22798876464366913,15.51901626586914,0.038935571908950806,12.914896011352539
1,0.24985934793949127,9.700953483581543,0.05686274543404579,9.278271675109863
2,0.275316447019577,6.862077236175537,0.07899159938097,7.471192359924316
3,0.2819972038269043,5.471236705780029,0.10364145040512085,6.544444561004639
4,0.2985232174396515,4.749865531921387,0.11596638709306717,6.119075775146484
5,0.3162447512149811,4.290689945220947,0.11400561034679413,5.809489727020264
6,0.3275667726993561,4.001768112182617,0.14313724637031555,5.649705410003662
7,0.3467651307582855,3.7809255123138428,0.1689075529575348,5.459682464599609
8,0.37208157777786255,3.57285475730896,0.19299720227718353,5.3254475593566895
9,0.3917018175125122,3.421386480331421,0.22044819593429565,5.197866916656494
10,0.4152601957321167,3.279869556427002,0.24649859964847565,5.166902542114258
11,0.44275668263435364,3.1407458782196045,0.250980406999588,5.01609992980957
12,0.4781293570995331,3.0178444385528564,0.25350141525268555,4.922497749328613
13,0.5073839426040649,2.9236268997192383,0.27198880910873413,4.912569046020508
14,0.5326300859451294,2.8338303565979004,0.27731093764305115,4.940673828125
15,0.5571730136871338,2.7676987648010254,0.2915966510772705,4.816431045532227
16,0.5694796442985535,2.7034833431243896,0.30588236451148987,4.780989170074463
17,0.5947257876396179,2.627856969833374,0.3044818043708801,4.791370391845703
18,0.614064633846283,2.5766212940216064,0.33473387360572815,4.726571559906006
19,0.6298171281814575,2.5302839279174805,0.3299719989299774,4.730613708496094
20,0.6442334651947021,2.479292392730713,0.35210081934928894,4.6115522384643555
21,0.656188428401947,2.448452949523926,0.3442577123641968,4.639888286590576
22,0.6719409227371216,2.4102087020874023,0.3689075708389282,4.625592231750488
23,0.6876229643821716,2.3630502223968506,0.3686274290084839,4.5481061935424805
24,0.6971870064735413,2.344731569290161,0.3862744867801666,4.573119640350342
25,0.7030942440032959,2.303065299987793,0.3857142925262451,4.51165246963501
26,0.7213079929351807,2.2695870399475098,0.3955182433128357,4.485091686248779
27,0.7313641905784607,2.256751537322998,0.40224090218544006,4.472373008728027
28,0.7388185858726501,2.22489333152771,0.3918767273426056,4.4694013595581055
29,0.7396624088287354,2.2053072452545166,0.40672269463539124,4.391644477844238
30,0.756540060043335,2.1815831661224365,0.4019607603549957,4.423155307769775
31,0.7625175714492798,2.157984972000122,0.41148459911346436,4.389208793640137
32,0.7675105333328247,2.1459004878997803,0.40504202246665955,4.325951099395752
33,0.771518886089325,2.1250452995300293,0.4366947114467621,4.302769184112549
34,0.7811533212661743,2.1135764122009277,0.42661067843437195,4.3816022872924805
35,0.7816454768180847,2.0917489528656006,0.40784314274787903,4.270879745483398
36,0.7921940684318542,2.0739312171936035,0.43361347913742065,4.205840587615967
37,0.794303834438324,2.0654025077819824,0.4333333373069763,4.281365871429443
38,0.7985935211181641,2.0468485355377197,0.42296916246414185,4.223237037658691
39,0.8017580509185791,2.032899856567383,0.43529415130615234,4.2604498863220215
40,0.8121659755706787,2.0175375938415527,0.43305322527885437,4.242284774780273
41,0.8142756819725037,2.0034594535827637,0.4268907904624939,4.216753005981445
42,0.8170183300971985,1.9890230894088745,0.440616250038147,4.161418437957764
43,0.8227847814559937,1.9723314046859741,0.4400560259819031,4.1432647705078125
44,0.8255977630615234,1.9759087562561035,0.44117650389671326,4.172390937805176
45,0.8291139602661133,1.9548547267913818,0.44117647409439087,4.1421918869018555
46,0.8350210785865784,1.9389475584030151,0.43809521198272705,4.133890151977539
